Model,RMSE,R2
Random Forest,8.571641303032788,0.9880320732265175
Extra Trees,8.908523074633727,0.9870728626248908
Decision Tree,9.424011513431449,0.9855335303043095
LightGBM,12.086991873043328,0.9762027153315832
XGBoost,8.745148476742388,0.9875426888465881
Support Vector Machine,40.38687483979215,0.7343123040728097
Simple Neural Network,16.350412272387867,0.9564539790153503
Convolutional Neural Network,19.926416200652433,0.9353230595588684
