Date(D/M/YYYY),PM2.5,PM10,O3,NO2,SO2
23-Nov-19,181,101,53,58,27
24-Nov-19,186,112,19,62,33
25-Nov-19,236,137,12,95,27
26-Nov-19,333,171,53,107,56
27-Nov-19,186,81,19,56,24
28-Nov-19,227,103,16,47,20
29-Nov-19,221,100,27,70,21
30-Nov-19,200,127,29,82,37
1-Dec-19,254,81,27,70,36
2-Dec-19,273,174,32,114,57
3-Dec-19,276,186,34,127,54
4-Dec-19,324,178,37,138,44
5-Dec-19,333,173,29,120,28
6-Dec-19,370,81,37,120,44
7-Dec-19,317,170,40,131,43
8-Dec-19,369,186,40,144,38
9-Dec-19,337,182,24,147,44
10-Dec-19,478,202,31,150,43
11-Dec-19,380,168,19,125,31
12-Dec-19,281,103,11,59,17
13-Dec-19,171,55,20,40,7
14-Dec-19,224,86,11,53,12
15-Dec-19,192,80,14,42,10
16-Dec-19,189,81,12,39,4
17-Dec-19,260,132,14,73,7
18-Dec-19,294,138,18,75,8
19-Dec-19,236,115,13,45,4
20-Dec-19,417,170,8,67,15
21-Dec-19,305,125,11,60,17
22-Dec-19,276,119,10,54,10
23-Dec-19,313,140,10,68,11
24-Dec-19,280,119,11,60,12
25-Dec-19,282,140,10,54,15
26-Dec-19,296,101,10,50,15
27-Dec-19,315,105,13,54,11
28-Dec-19,330,101,5,45,10
29-Dec-19,312,101,10,50,15
30-Dec-19,301,105,13,54,11
31-Dec-19,300,101,5,45,10
1-Jan-20,355,192,12,11,15
2-Jan-20,375,305,15,86,35
3-Jan-20,311,269,25,95,65
4-Jan-20,370,260,20,108,48
5-Jan-20,246,72,11,63,32
6-Jan-20,189,47,7,45,12
7-Jan-20,238,32,9,43,11
8-Jan-20,199,49,11,48,13
9-Jan-20,199,103,18,69,26
10-Jan-20,216,30,21,72,29
11-Jan-20,225,29,23,89,37
12-Jan-20,206,33,25,55,25
13-Jan-20,164,74,11,31,11
14-Jan-20,183,143,11,81,37
15-Jan-20,205,142,18,32,25
16-Jan-20,250,105,21,58,11
17-Jan-20,334,71,23,70,21
18-Jan-20,337,143,20,80,21
19-Jan-20,327,142,23,83,27
20-Jan-20,224,105,25,81,33
21-Jan-20,173,71,15,32,20
22-Jan-20,173,69,23,58,26
23-Jan-20,187,78,20,70,41
24-Jan-20,202,100,25,79,38
25-Jan-20,237,128,21,94,48
26-Jan-20,291,78,20,94,48
27-Jan-20,278,132,14,83,30
28-Jan-20,205,59,8,37,9
29-Jan-20,183,61,19,35,10
30-Jan-20,226,83,16,48,11
31-Jan-20,113,91,27,66,38
1-Feb-20,34,109,28,61,21
2-Feb-20,33,129,31,75,27
3-Feb-20,33,129,32,81,27
4-Feb-20,38,128,20,78,17
5-Feb-20,33,89,36,55,40
6-Feb-20,33,103,34,66,22
7-Feb-20,33,162,28,95,34
8-Feb-20,34,133,26,86,46
9-Feb-20,31,141,35,74,31
10-Feb-20,34,133,28,86,46
11-Feb-20,116,73,23,94,36
12-Feb-20,186,52,19,68,46
13-Feb-20,181,50,28,54,42
14-Feb-20,138,46,33,51,31
15-Feb-20,158,38,43,60,36
16-Feb-20,180,36,44,82,34
17-Feb-20,203,78,29,91,68
18-Feb-20,199,137,43,93,77
19-Feb-20,185,103,44,45,28
20-Feb-20,173,66,44,46,20
21-Feb-20,110,39,41,38,18
22-Feb-20,200,88,39,67,28
23-Feb-20,194,91,38,72,49
24-Feb-20,224,103,38,71,36
25-Feb-20,209,96,40,74,50
26-Feb-20,222,103,43,68,42
27-Feb-20,195,86,38,48,18
28-Feb-20,198,80,36,34,11
29-Feb-20,111,30,37,22,8
1-Mar-20,164,52,40,40,18
2-Mar-20,171,87,43,54,25
3-Mar-20,161,73,57,40,43
4-Mar-20,228,68,43,47,22
5-Mar-20,111,30,36,28,9
6-Mar-20,89,17,29,23,5
7-Mar-20,73,20,29,18,2
8-Mar-20,119,40,30,27,4
9-Mar-20,101,52,36,43,11
10-Mar-20,180,93,40,70,30
11-Mar-20,143,49,25,42,11
12-Mar-20,69,25,51,12,3
13-Mar-20,91,28,45,27,9
14-Mar-20,147,48,28,33,14
15-Mar-20,174,84,37,42,17
16-Mar-20,170,104,32,62,28
17-Mar-20,166,84,47,53,35
18-Mar-20,168,89,41,56,24
19-Mar-20,195,98,55,56,27
20-Mar-20,217,92,48,56,41
21-Mar-20,151,61,44,32,22
22-Mar-20,215,79,42,32,27
23-Mar-20,130,98,48,56,41
24-Mar-20,122,92,44,32,22
25-Mar-20,88,29,33,9,6
26-Mar-20,97,35,43,11,6
27-Mar-20,51,16,26,2,1
28-Mar-20,62,26,30,8,3
29-Mar-20,98,36,38,10,8
30-Mar-20,101,46,37,18,21
31-Mar-20,100,37,36,13,4
1-Apr-20,73,29.368,48,8.969,87
2-Apr-20,54,33.235,44,10.721,120
3-Apr-20,96,42.663,33,82,133
4-Apr-20,108,45.038,43,86,66
5-Apr-20,126,56.978,26,9.867,70
6-Apr-20,58,12.665,30,147,68
7-Apr-20,68,14.999,38,82,69
8-Apr-20,70,40,37,86,100
9-Apr-20,120,36,36,89,115
10-Apr-20,87,33,29,65,125
11-Apr-20,88,33,34,179,123
12-Apr-20,111,33,48,96,141
13-Apr-20,144,34,22,88,131
14-Apr-20,129,35,25,76,151
15-Apr-20,137,35,49,50,142
16-Apr-20,106,27.363,19,86,138
17-Apr-20,101,33.304,200,73,175
18-Apr-20,56,16.984,202,52,171
19-Apr-20,78,10.264,54,52,156
20-Apr-20,94,8.538,67,75,165
21-Apr-20,83,18.214,190,148,141
22-Apr-20,153,7.186,200,199,157
23-Apr-20,121,27.291,179,124,172
24-Apr-20,136,27.291,185,207,175
25-Apr-20,118,6.594,154,56,185
26-Apr-20,120,56,105,87,209
27-Apr-20,64,56,60,99,206
28-Apr-20,93,47,143,89,160
29-Apr-20,120,64,143,8.969,157
30-Apr-20,122,29,77,10.721,203
1-May-20,159,19,154,9.867,203
2-May-20,119,16,239,29.1269,148
3-May-20,132,23,159,19,87
4-May-20,119,27,203,18,112
5-May-20,116,16,136,17,171
6-May-20,178,39,77,7,195
7-May-20,118,34,174,8,197
8-May-20,146,34,206,8,194
9-May-20,134,13,151,10,181
10-May-20,166,17,147,10,175
11-May-20,117,24,161,14,153
12-May-20,156,21,80,23,162
13-May-20,114,28,203,7,152
14-May-20,121,21,158,17,143
15-May-20,132,56,153,12,129
16-May-20,188,56,130,62,208
17-May-20,129,47,154,6,157
18-May-20,131,64,239,107,167
19-May-20,199,29,159,15,194
20-May-20,120,19,203,15,123
21-May-20,142,16,136,18,10.557
22-May-20,161,23,77,18,5.858
23-May-20,135,27,174,12,18.746
24-May-20,102,16,206,14,11.335
25-May-20,119,39,151,16,19.854
26-May-20,135,34,147,8,28.076
27-May-20,103,34,161,8,23.421
28-May-20,103,13,80,23,18.377
29-May-20,100,17,203,71,59.38
30-May-20,104,24,158,34,13.524
31-May-20,99,21,153,28,13.402
1-Jun-20,92,28,130,133,23.097
2-Jun-20,111,21,29,35,187.45
3-Jun-20,125,56,22,29,87.28
4-Jun-20,120,56,31,32,87.461
5-Jun-20,105,47,35,28,16.113
6-Jun-20,93,64,29,35,17
7-Jun-20,167,29,34,35,27.895
8-Jun-20,159,19,48,42,178.931
9-Jun-20,168,16,22,28,27.901
10-Jun-20,162,23,25,71,2.228
11-Jun-20,172,27,49,105,3.31
12-Jun-20,148,16,19,97,24.709
13-Jun-20,139,39,200,77,170.71
14-Jun-20,144,34,202,108,51.174
15-Jun-20,158,34,54,81,3
16-Jun-20,154,13,67,54,3
17-Jun-20,157,17,190,64,43
18-Jun-20,153,24,200,80,6
19-Jun-20,139,21,179,28,3
20-Jun-20,153,28,185,98,6
21-Jun-20,151,21,154,106,3
22-Jun-20,112,56,105,47,4
23-Jun-20,138,56,60,48,6
24-Jun-20,123,47,143,28,4
25-Jun-20,111,64,143,67,4
26-Jun-20,119,29,77,79,87
27-Jun-20,146,19,154,66,120
28-Jun-20,145,16,239,108,133
29-Jun-20,88,23,159,97,66
30-Jun-20,148,27,203,87,70
1-Jul-20,153,16,136,28,68
2-Jul-20,146,39,77,28,69
3-Jul-20,144,34,174,42,100
4-Jul-20,127,34,206,33,115
5-Jul-20,132,13,151,28,125
6-Jul-20,140,17,147,42,123
7-Jul-20,128,24,161,63,141
8-Jul-20,60,21,80,65,131
9-Jul-20,103,28,203,28,151
10-Jul-20,134,21,158,31,142
11-Jul-20,78,48.838,153,37,138
12-Jul-20,49,24.929,130,80,175
13-Jul-20,120,28,32.852,33,171
14-Jul-20,129,21,29,11,156
15-Jul-20,109,48.838,34,36,165
16-Jul-20,157,24.929,48,27,141
17-Jul-20,127,34,22,45,157
18-Jul-20,130,13,25,28,172
19-Jul-20,99,17,49,12,175
20-Jul-20,69,24,19,10,185
21-Jul-20,78,21,200,64,209
22-Jul-20,143,28,202,51,206
23-Jul-20,152,21,54,56,160
24-Jul-20,133,24,67,73,157
25-Jul-20,110,21,190,36,203
26-Jul-20,86,28,200,145,203
27-Jul-20,131,21,179,200,148
28-Jul-20,98,48,185,147,87
29-Jul-20,89,21,154,82,112
30-Jul-20,59,43,105,86,171
31-Jul-20,70,56,60,89,195
1-Aug-20,70,56,143,65,197
2-Aug-20,62,47,143,179,194
3-Aug-20,83,64,77,96,181
4-Aug-20,78,29,154,88,175
5-Aug-20,86,19,239,76,153
6-Aug-20,73,16,159,50,162
7-Aug-20,52,23,203,86,152
8-Aug-20,92,27,136,73,143
9-Aug-20,110,16,77,52,129
10-Aug-20,83,39,174,52,208
11-Aug-20,145,34,206,75,157
12-Aug-20,94,34,151,148,167
13-Aug-20,100,13,147,199,194
14-Aug-20,57,17,161,124,123
15-Aug-20,71,24,80,207,10.557
16-Aug-20,102,21,203,56,5.858
17-Aug-20,90,28,158,87,18.746
18-Aug-20,104,21,153,99,11.335
19-Aug-20,80,34,130,89,19.854
20-Aug-20,61,13,154,8.969,28.076
21-Aug-20,57,17,239,10.721,23.421
22-Aug-20,162,24,159,9.867,18.377
23-Aug-20,105,21,203,29.1269,59.38
24-Aug-20,55,28,136,19,13.524
25-Aug-20,59,21,77,18,13.402
26-Aug-20,62,34,174,17,23.097
27-Aug-20,52,13,206,7,187.45
28-Aug-20,78,17,151,8,87.28
29-Aug-20,85,24,147,8,87.461
30-Aug-20,93,21,161,10,16.113
31-Aug-20,55,28,80,10,17
1-Sep-20,55,21,203,14,27.895
2-Sep-20,69,34,158,23,178.931
3-Sep-20,55,13,153,7,27.901
4-Sep-20,106,17,130,17,2.228
5-Sep-20,173,24,29,12,3.31
6-Sep-20,123,21,22,62,24.709
7-Sep-20,145,28,31,6,170.71
8-Sep-20,146,21,35,107,51.174
9-Sep-20,142,34,29,15,3
10-Sep-20,143,13,34,15,3
11-Sep-20,129,17,48,18,43
12-Sep-20,127,24,22,18,6
13-Sep-20,141,21,25,12,3
14-Sep-20,146,28,49,14,6
15-Sep-20,137,21,19,16,3
16-Sep-20,141,6,200,8,4
17-Sep-20,133,76,202,8,6
18-Sep-20,152,55,54,23,4
19-Sep-20,143,57,67,71,4
20-Sep-20,142,78,190,34,87
21-Sep-20,145,108,200,28,120
22-Sep-20,162,76,179,133,133
23-Sep-20,165,82,185,35,66
24-Sep-20,167,98,154,29,70
25-Sep-20,150,91,105,32,68
26-Sep-20,150,180,60,28,69
27-Sep-20,161,152,143,35,100
28-Sep-20,184,109,143,35,115
29-Sep-20,172,134,77,42,125
30-Sep-20,148,114,154,28,123
1-Oct-20,207,104,239,71,141
2-Oct-20,168,113,159,105,131
3-Oct-20,165,109,203,97,151
4-Oct-20,179,125,136,77,142
5-Oct-20,173,123,77,108,138
6-Oct-20,178,87,174,81,175
7-Oct-20,167,106,206,54,171
8-Oct-20,146,106,151,64,156
9-Oct-20,180,50,147,80,165
10-Oct-20,194,46,161,28,141
11-Oct-20,161,106,80,98,157
12-Oct-20,176,77,203,106,172
13-Oct-20,238,98,158,47,175
14-Oct-20,216,126,153,48,185
15-Oct-20,188,86,130,28,209
16-Oct-20,197,89,32.852,67,206
17-Oct-20,248,102,29,79,160
18-Oct-20,189,72,34,66,157
19-Oct-20,190,86,48,108,203
20-Oct-20,222,75,22,97,203
21-Oct-20,280,89,25,87,148
22-Oct-20,301,116,49,28,87
