Date(D/M/YYYY),PM2.5,PM10,O3,NO2,SO2
15-Jun-21,151,126,179,35,123
16-Jun-21,106,86,185,29,141
17-Jun-21,154,89,154,32,131
18-Jun-21,140,102,105,28,151
19-Jun-21,128,72,60,35,142
20-Jun-21,74,86,143,35,138
21-Jun-21,106,75,143,42,175
22-Jun-21,118,89,77,28,171
23-Jun-21,131,116,154,71,156
24-Jun-21,127,67,239,105,165
25-Jun-21,95,58,159,97,141
26-Jun-21,117,72,203,77,157
27-Jun-21,119,78,136,108,172
28-Jun-21,115.5,80,77,81,175
29-Jun-21,115,50,174,54,185
30-Jun-21,111,64,206,64,209
1-Jul-21,115,61,151,80,206
2-Jul-21,116,60,147,28,160
3-Jul-21,116,32,161,98,157
4-Jul-21,114,27,80,106,203
5-Jul-21,113,64,203,47,203
6-Jul-21,115,91,158,48,148
7-Jul-21,114,110,153,28,87
8-Jul-21,114,62,130,67,112
9-Jul-21,151,43,30,79,171
10-Jul-21,160,46,27,66,195
11-Jul-21,144,39,48,108,197
12-Jul-21,92,39,35,97,194
13-Jul-21,112,64,29,87,181
14-Jul-21,112,39,22,28,175
15-Jul-21,100,31,31,28,153
16-Jul-21,102,64,35,42,162
17-Jul-21,142,45,29,33,152
18-Jul-21,152,66,34,28,143
19-Jul-21,117,99,48,179,129
20-Jul-21,63,79,22,96,208
21-Jul-21,89,76,25,88,157
22-Jul-21,120,119,49,76,167
23-Jul-21,114,119,19,50,194
24-Jul-21,119,118,200,86,123
25-Jul-21,130,123,202,73,10.557
26-Jul-21,143,60,54,52,5.858
27-Jul-21,137,56,67,52,18.746
28-Jul-21,110,58,190,75,11.335
29-Jul-21,74,12,200,148,19.854
30-Jul-21,71,74,179,199,28.076
31-Jul-21,127,53,185,124,23.421
1-Aug-21,165,45,154,207,18.377
2-Aug-21,103,72,105,56,59.38
3-Aug-21,148,39,60,87,13.524
4-Aug-21,119,74,143,99,13.402
5-Aug-21,139,59,143,89,23.097
6-Aug-21,135,81,77,8.969,187.45
7-Aug-21,125,65,154,10.721,87.28
8-Aug-21,132,74,239,9.867,87.461
9-Aug-21,133,56,159,29.1269,16.113
10-Aug-21,149,88,203,19,17
11-Aug-21,151,68,136,18,27.895
12-Aug-21,147,52,77,17,178.931
13-Aug-21,142,42,174,7,27.901
14-Aug-21,157,76,206,8,2.228
15-Aug-21,131,104,151,8,3.31
16-Aug-21,142,104,147,10,24.709
17-Aug-21,153,111,161,10,170.71
18-Aug-21,148,99,80,14,51.174
19-Aug-21,151,101,203,23,3
20-Aug-21,149,105,158,7,3
21-Aug-21,113,115,153,17,43
22-Aug-21,96,103,130,12,6
23-Aug-21,152,129,30,62,3
24-Aug-21,157,32,27,6,6
25-Aug-21,151,58,48,107,3
26-Aug-21,161,56,35,15,4
27-Aug-21,155,56,29,15,6
28-Aug-21,146,121,22,18,4
29-Aug-21,150,85,31,18,4
30-Aug-21,148,23,35,12,157
31-Aug-21,132,25,29,14,203
1-Sep-21,99,64,34,16,203
2-Sep-21,140,67,48,8,148
3-Sep-21,140,68,22,8,87
4-Sep-21,139,62,25,23,112
5-Sep-21,138,62,49,71,171
6-Sep-21,140,67,19,34,195
7-Sep-21,143,67,200,28,197
8-Sep-21,142,54,202,133,194
9-Sep-21,155,68,54,35,181
10-Sep-21,113,39,67,29,175
11-Sep-21,124,39,190,32,153
12-Sep-21,123,66,200,28,162
13-Sep-21,158,29,179,35,152
14-Sep-21,130,33,185,35,143
15-Sep-21,165,61,154,42,129
16-Sep-21,124,37,105,28,208
17-Sep-21,79,52,60,71,157
18-Sep-21,115,47,143,105,167
19-Sep-21,139,91,143,97,194
20-Sep-21,161,40,77,77,123
21-Sep-21,131,75,154,108,10.557
22-Sep-21,135,41,239,81,5.858
23-Sep-21,96,89,159,54,18.746
24-Sep-21,114,49,203,64,11.335
25-Sep-21,189,60,136,80,19.854
26-Sep-21,217,64,77,28,28.076
27-Sep-21,173,66,174,98,23.421
28-Sep-21,174,59,206,106,18.377
29-Sep-21,139,63,151,47,59.38
30-Sep-21,134,54,147,48,13.524
1-Oct-21,169,81,161,28,13.402
2-Oct-21,122,75,80,67,23.097
3-Oct-21,118,71,203,79,187.45
4-Oct-21,128,20,158,66,87.28
5-Oct-21,133,52,153,108,87.461
6-Oct-21,178,67,130,97,16.113
7-Oct-21,164,44,30,87,17
8-Oct-21,171,39,27,28,27.895
9-Oct-21,185,55,48,28,178.931
10-Oct-21,158,59,35,42,27.901
11-Oct-21,150,40,29,33,2.228
12-Oct-21,180,75,22,28,3.31
13-Oct-21,213,49,31,42,24.709
14-Oct-21,209,55,35,63,170.71
15-Oct-21,203,61,29,65,51.174
16-Oct-21,206,58,34,28,3
17-Oct-21,241,68,48,31,3
18-Oct-21,180,61,22,37,43
19-Oct-21,197,76,25,80,6
20-Oct-21,187,64,49,33,3
21-Oct-21,288,64,19,11,6
22-Oct-21,177,71,200,36,3
23-Oct-21,179,45,202,27,4
24-Oct-21,180,67,54,45,6
25-Oct-21,182,56,67,28,4
26-Oct-21,185,63,190,12,4
27-Oct-21,188,73,200,10,87
28-Oct-21,190,78,179,64,120
29-Oct-21,191,64,185,51,133
30-Oct-21,192,47,154,56,66
31-Oct-21,193,48,105,73,70
1-Nov-21,194,62,60,36,68
2-Nov-21,195,56,143,145,69
3-Nov-21,197,47,143,200,100
4-Nov-21,198,75,77,147,115
5-Nov-21,197,39,154,82,125
6-Nov-21,197,68,239,86,123
7-Nov-21,197,69,159,89,141
8-Nov-21,196,78,203,65,131
9-Nov-21,194,96,136,179,151
10-Nov-21,195,55,77,96,142
11-Nov-21,195,89,174,88,138
12-Nov-21,195,69,206,76,175
13-Nov-21,191,101,151,50,171
14-Nov-21,191,85,147,86,156
15-Nov-21,192,104,161,73,165
16-Nov-21,192,93,80,52,141
17-Nov-21,193,88,203,52,157
18-Nov-21,193,41,158,75,172
19-Nov-21,194,109,153,148,175
20-Nov-21,194,47,130,199,185
21-Nov-21,194,115,30.418,124,209
22-Nov-21,194,70,34.645,207,206
23-Nov-21,194,118,35.976,56,160
24-Nov-21,194,71,49.427,87,157
25-Nov-21,194,129,28.702,99,203
26-Nov-21,194,79,27.906,89,203
27-Nov-21,194,41,24.437,8.969,148
28-Nov-21,193,75,32.852,10.721,87
29-Nov-21,193,52,175.335,9.867,112
30-Nov-21,193,89,79.412,29.1269,171
1-Dec-21,193,65,21,19,195
2-Dec-21,193,97,18,18,197
3-Dec-21,193,70,20,17,194
4-Dec-21,366,108,29,7,181
5-Dec-21,201,91,18,8,175
6-Dec-21,201,68,28,8,153
7-Dec-21,201,58,18,10,162
8-Dec-21,292,76,39,10,152
9-Dec-21,336,36,18,14,143
10-Dec-21,334,57,35,23,129
11-Dec-21,292,63,19,7,208
12-Dec-21,368,81,19,17,157
13-Dec-21,379,68,28,12,167
14-Dec-21,426,80,18,62,194
15-Dec-21,499,77,32,6,123
16-Dec-21,339,67,20,107,10.557
17-Dec-21,347,71,27,15,5.858
18-Dec-21,276,81,18,15,18.746
19-Dec-21,288,62,26,18,11.335
20-Dec-21,386,87,41,18,19.854
21-Dec-21,360,59,30,12,28.076
22-Dec-21,475,83,27,14,23.421
23-Dec-21,392,65,48,16,18.377
24-Dec-21,448,98,35,8,59.38
25-Dec-21,460,67,29,8,13.524
26-Dec-21,503,104,22,23,13.402
27-Dec-21,391,69,31,71,23.097
28-Dec-21,231,53,35,34,187.45
29-Dec-21,381,69,29,28,87.28
30-Dec-21,284,86,34,133,87.461
31-Dec-21,385,63,48,35,16.113
1-Jan-22,360,90,22,29,17
2-Jan-22,347,84,25,32,27.895
3-Jan-22,294,88,49,28,178.931
4-Jan-22,195,75,19,35,27.901
5-Jan-22,171,86,200,35,2.228
6-Jan-22,195,79,202,42,3.31
7-Jan-22,217,83,54,28,24.709
8-Jan-22,148,73,67,71,170.71
9-Jan-22,165,91,190,105,51.174
10-Jan-22,277,71,200,97,3
11-Jan-22,212,68,179,77,3
12-Jan-22,355,75,185,108,43
13-Jan-22,283,93,154,81,6
14-Jan-22,290,72,105,54,3
15-Jan-22,344,96,60,64,6
16-Jan-22,346,75,143,80,3
17-Jan-22,382,104,143,28,4
18-Jan-22,399,89,77,98,6
19-Jan-22,313,69,154,106,4
20-Jan-22,274,91,239,47,4
21-Jan-22,174,67,159,48,87
22-Jan-22,211,82,203,28,120
23-Jan-22,153,71,136,67,133
24-Jan-22,207,44,77,79,66
25-Jan-22,209,97,174,66,70
26-Jan-22,281,52,206,108,68
27-Jan-22,243,60,151,97,69
28-Jan-22,217,56,147,87,100
29-Jan-22,290,84,161,28,115
30-Jan-22,265,55,80,28,125
31-Jan-22,292,63,203,42,123
1-Feb-22,316,48,158,33,141
2-Feb-22,201,56,153,28,131
3-Feb-22,214,41,130,34,151
4-Feb-22,238,76,58,28,142
5-Feb-22,258,82,72,133,138
6-Feb-22,230,37,64,35,175
7-Feb-22,210,78,53,29,171
8-Feb-22,202,66,45,32,156
9-Feb-22,235,76,38,28,165
10-Feb-22,241,93,41,35,141
11-Feb-22,192,78,63,35,157
12-Feb-22,239,110,56,42,172
13-Feb-22,202,84,66,28,175
14-Feb-22,216,92,44.352,71,185
15-Feb-22,256,88,60.767,105,209
16-Feb-22,365,74,62.204,97,206
17-Feb-22,355,86,30.418,77,160
18-Feb-22,246,81,34.645,108,157
19-Feb-22,199,73,35.976,81,203
20-Feb-22,179,93,49.427,54,203
21-Feb-22,196,83,28.702,64,148
22-Feb-22,172,110,27.906,80,87
23-Feb-22,145,81,24.437,28,112
24-Feb-22,221,132,32.852,98,171
25-Feb-22,188,86,175.335,106,195
26-Feb-22,114,145,79.412,47,197
27-Feb-22,218,88,21,48,194
28-Feb-22,219,129,18,28,181
1-Mar-22,219,104,20,67,175
2-Mar-22,219,115,29,79,153
3-Mar-22,218,98,18,66,162
4-Mar-22,219,108,28,108,152
5-Mar-22,218,104,18,97,143
6-Mar-22,219,121,39,87,129
7-Mar-22,219,119,18,28,208
8-Mar-22,217,70,35,28,157
9-Mar-22,151,133,19,42,167
10-Mar-22,168,85,19,33,194
11-Mar-22,205,128,28,28,123
12-Mar-22,203,116,18,42,10.557
13-Mar-22,202,127,32,63,5.858
14-Mar-22,200,121,20,65,18.746
15-Mar-22,198,130,27,28,11.335
16-Mar-22,195,91,18,31,19.854
17-Mar-22,193,134,26,37,28.076
18-Mar-22,190,82,41,80,23.421
19-Mar-22,194,61,30,33,18.377
20-Mar-22,201,52,27,11,59.38
21-Mar-22,187,56,48,36,13.524
22-Mar-22,202,48,35,27,13.402
23-Mar-22,197,91,29,45,23.097
24-Mar-22,196,65,22,28,187.45
25-Mar-22,196,107,31,12,87.28
26-Mar-22,195,91,35,10,87.461
27-Mar-22,195,108,29,64,16.113
28-Mar-22,195,131,34,51,17
29-Mar-22,195,111,48,56,27.895
30-Mar-22,195,113,22,73,178.931
31-Mar-22,195,117,25,36,27.901
1-Apr-22,195,79,49,145,2.228
2-Apr-22,195,122,19,200,3.31
3-Apr-22,195,67,200,147,24.709
4-Apr-22,151,118,202,82,170.71
5-Apr-22,222,113,54,86,51.174
6-Apr-22,240,128,67,89,3
7-Apr-22,271,110,190,65,3
8-Apr-22,213,131,200,179,43
9-Apr-22,240,136,179,96,6
10-Apr-22,236,133,185,88,3
11-Apr-22,404,154,154,76,6
12-Apr-22,247,136,105,50,3
13-Apr-22,259,173,60,86,4
14-Apr-22,263,135,143,73,6
15-Apr-22,266,181,143,52,4
16-Apr-22,266,190,77,52,4
17-Apr-22,272,193,154,75,87
18-Apr-22,203,151,239,148,120
19-Apr-22,206,127,159,199,133
20-Apr-22,160,154,203,124,66
21-Apr-22,185,143,136,207,70
22-Apr-22,151,163,77,56,68
23-Apr-22,179,184,174,87,69
24-Apr-22,157,174,206,99,100
25-Apr-22,167,173,151,89,115
26-Apr-22,171,172,147,8.969,125
27-Apr-22,200,209,161,10.721,123
28-Apr-22,224,181,80,9.867,141
29-Apr-22,167,215,203,29.1269,131
30-Apr-22,227,167,158,19,151
1-May-22,226,201,153,18,142
2-May-22,190,187,130,17,138
3-May-22,211,55,298,7,175
4-May-22,191,188,161,8,171
5-May-22,168,97,190,8,156
6-May-22,162,167,167,10,165
7-May-22,181,124,204,10,141
8-May-22,180,164,165,14,157
9-May-22,184,149,168,23,172
10-May-22,163,167,137,7,175
11-May-22,182,167,180,17,185
12-May-22,249,171,154,12,209
13-May-22,190,181,190,62,206
14-May-22,187,161,164,6,160
15-May-22,187,187,189,107,157
16-May-22,184,167,179,15,203
17-May-22,162,200,194,15,203
18-May-22,165,172,182,18,148
19-May-22,202,140,215,18,87
20-May-22,157,174,177,12,112
21-May-22,170,298,181,14,171
22-May-22,176,161,185,16,195
23-May-22,116,190,213,8,197
24-May-22,102,167,187,8,194
25-May-22,140,204,143,23,181
26-May-22,162,165,132,71,175
27-May-22,160,168,87,34,153
28-May-22,158,137,163,28,162
29-May-22,155,180,154,133,152
30-May-22,155,154,183,35,143
31-May-22,177,190,165,29,129
1-Jun-22,160,164,176,32,208
2-Jun-22,165,189,184,28,157
3-Jun-22,186,179,182,35,167
4-Jun-22,211,194,191,35,194
5-Jun-22,191,182,169,42,123
6-Jun-22,218,215,196,28,10.557
7-Jun-22,149,177,180,71,5.858
8-Jun-22,171,181,229,105,18.746
9-Jun-22,189,185,176,97,11.335
10-Jun-22,179,213,244,77,19.854
11-Jun-22,172,187,186,108,28.076
12-Jun-22,170,143,217,81,23.421
13-Jun-22,158,132,190,54,18.377
14-Jun-22,182,87,168,64,59.38
15-Jun-22,146,163,173,80,13.524
16-Jun-22,136,154,200,28,13.402
17-Jun-22,108,183,187,98,23.097
18-Jun-22,104,165,173,106,187.45
19-Jun-22,141,176,188,47,87.28
20-Jun-22,165,184,201,48,87.461
21-Jun-22,104,182,207,28,16.113
22-Jun-22,165,191,183,67,17
23-Jun-22,154,169,186,79,27.895
24-Jun-22,155,196,227,66,178.931
25-Jun-22,170,180,166,108,27.901
26-Jun-22,178,229,242,97,2.228
27-Jun-22,166,176,163,87,3.31
28-Jun-22,174,244,179,28,24.709
29-Jun-22,170,186,169,28,170.71
30-Jun-22,138,217,164,42,51.174
1-Jul-22,92,190,177,33,3
2-Jul-22,146,168,181,28,3
3-Jul-22,132,173,187,42,43
4-Jul-22,152,200,158,63,6
5-Jul-22,152,187,184,65,3
6-Jul-22,124,173,197,28,6
7-Jul-22,142,188,161,31,3
8-Jul-22,154,201,169,37,4
9-Jul-22,123,207,175,80,6
10-Jul-22,118,183,175,33,4
11-Jul-22,138,186,178,11,4
12-Jul-22,142,227,137,36,87
13-Jul-22,121,166,166,27,120
14-Jul-22,99,242,139,45,133
15-Jul-22,87,163,172,28,66
16-Jul-22,106,179,175,12,70
17-Jul-22,80,169,183,10,68
18-Jul-22,148,164,195,64,69
19-Jul-22,137,177,193,51,100
20-Jul-22,104,181,147,56,115
21-Jul-22,63,187,181,73,125
22-Jul-22,90,158,151,36,123
23-Jul-22,121,184,159,145,141
24-Jul-22,83,197,151,200,131
25-Jul-22,100,161,148,147,151
26-Jul-22,98,169,149,82,142
27-Jul-22,115,175,145,86,138
28-Jul-22,104,175,147,89,175
29-Jul-22,103,178,162,65,171
30-Jul-22,103,137,164,17,156
31-Jul-22,105,166,174,7,165
1-Aug-22,102,139,169,8,141
2-Aug-22,99,172,146,8,157
3-Aug-22,98,175,148,10,172
4-Aug-22,138,183,139,10,175
5-Aug-22,136,195,144,14,185
6-Aug-22,145,193,146,23,209
7-Aug-22,140,147,152,7,206
8-Aug-22,125,181,152,17,160
9-Aug-22,122,151,158,12,157
10-Aug-22,148,159,158,62,203
11-Aug-22,96,151,163,6,203
12-Aug-22,107,148,152,107,148
13-Aug-22,98,149,172,15,87
14-Aug-22,110,145,162,15,112
15-Aug-22,118,147,150,18,171
16-Aug-22,120,162,147,18,195
17-Aug-22,121,164,150,12,197
18-Aug-22,123,174,161,14,194
19-Aug-22,122,169,152,16,181
20-Aug-22,121,146,127,8,175
21-Aug-22,102,148,97,8,153
22-Aug-22,115,139,371,23,162
23-Aug-22,112,144,360,71,152
24-Aug-22,114,146,327,34,143
25-Aug-22,114,152,385,28,129
26-Aug-22,116,152,29.368,133,208
27-Aug-22,116,158,33.235,35,157
28-Aug-22,117,158,42.663,29,167
29-Aug-22,116,163,45.038,32,194
30-Aug-22,189,152,56.978,28,123
31-Aug-22,159,172,12.665,35,10.557
1-Sep-22,124,162,14.999,35,5.858
2-Sep-22,105,150,27.363,42,18.746
3-Sep-22,118,147,33.304,28,11.335
4-Sep-22,116,150,16.984,71,19.854
5-Sep-22,105,161,10.264,105,28.076
6-Sep-22,121,152,8.538,97,23.421
7-Sep-22,121,127,18.214,77,18.377
8-Sep-22,122,97,7.186,108,59.38
9-Sep-22,122,371,27.291,81,13.524
10-Sep-22,123,360,6.594,54,13.402
11-Sep-22,123,327,48.838,64,23.097
12-Sep-22,124,385,24.929,80,187.45
13-Sep-22,124,29.368,48,28,87.28
14-Sep-22,151,33.235,43,98,87.461
15-Sep-22,153,42.663,56,106,16.113
16-Sep-22,156,45.038,56,47,17
17-Sep-22,155,56.978,47,48,27.895
18-Sep-22,158,12.665,64,28,178.931
19-Sep-22,160,14.999,29,67,27.901
20-Sep-22,162,27.363,19,79,2.228
21-Sep-22,158,33.304,16,66,3.31
22-Sep-22,152,16.984,23,108,24.709
23-Sep-22,146,10.264,27,97,170.71
24-Sep-22,139,8.538,16,87,51.174
25-Sep-22,143,18.214,39,28,3
26-Sep-22,150,7.186,34,28,3
27-Sep-22,155,27.291,34,42,43
28-Sep-22,159,6.594,13,33,6
29-Sep-22,164,48.838,17,28,3
30-Sep-22,170,24.929,24,42,6
1-Oct-22,178,48,21,63,3
2-Oct-22,144,43,28,65,4
3-Oct-22,162,56,21,28,6
4-Oct-22,166,56,19,31,4
5-Oct-22,163,47,19,37,4
6-Oct-22,159,64,6,80,87
7-Oct-22,188,29,58,33,120
8-Oct-22,173,19,72,11,133
9-Oct-22,144,16,64,36,66
10-Oct-22,122,23,53,27,70
11-Oct-22,166,27,45,45,68
12-Oct-22,174,16,38,28,69
13-Oct-22,187,39,41,12,100
14-Oct-22,185,34,63,10,115
15-Oct-22,188,34,56,64,125
16-Oct-22,198,13,66,51,123
17-Oct-22,172,17,44.352,56,141
18-Oct-22,170,24,60.767,73,131
19-Oct-22,202,21,62.204,36,151
20-Oct-22,188,28,30.418,145,142
21-Oct-22,157,21,34.645,200,138
22-Oct-22,177,19,35.976,147,175
23-Oct-22,196,19,49.427,82,171
24-Oct-22,249,6,28.702,86,156
25-Oct-22,274,81,27.906,89,165
26-Oct-22,195,66,24.437,65,141
27-Oct-22,196,66,32.852,179,157
28-Oct-22,197,116,175.335,96,172
29-Oct-22,197,123,79.412,88,175
30-Oct-22,252,119,21,76,185
31-Oct-22,333,142,18,50,209
1-Nov-22,328,133,20,86,206
2-Nov-22,271,129,29,73,160
3-Nov-22,269,122,18,52,157
4-Nov-22,271,126,28,52,203
5-Nov-22,365,68,18,75,203
6-Nov-22,142,37,39,148,148
7-Nov-22,161,84,18,199,87
8-Nov-22,191,72,35,124,112
9-Nov-22,243,95,19,207,171
10-Nov-22,168,92,19,56,195
11-Nov-22,178,114,28,87,197
12-Nov-22,242,131,18,99,194
13-Nov-22,285,127,32,89,181
14-Nov-22,159,127,20,8.969,175
15-Nov-22,164,48,27,10.721,153
16-Nov-22,206,76,18,9.867,162
17-Nov-22,206,64,26,29.1269,152
18-Nov-22,179,64,41,19,143
19-Nov-22,46,85,30,18,129
20-Nov-22,44,98,27,17,208
21-Nov-22,57,110,48,7,157
22-Nov-22,41,42,35,8,167
23-Nov-22,160.6,77,29,8,194
24-Nov-22,158,77,22,10,123
25-Nov-22,152,68,31,10,10.557
26-Nov-22,151,82,35,14,5.858
27-Nov-22,150,92,29,23,18.746
28-Nov-22,143,101,34,7,11.335
29-Nov-22,134,109,48,17,19.854
30-Nov-22,132,50,22,12,28.076
1-Dec-22,130,76,25,62,23.421
2-Dec-22,125,55,49,6,18.377
3-Dec-22,120,57,19,107,59.38
4-Dec-22,116,78,200,15,13.524
5-Dec-22,120,108,202,15,13.402
6-Dec-22,269,76,54,18,23.097
7-Dec-22,249,82,67,18,187.45
8-Dec-22,282,98,190,12,87.28
9-Dec-22,274,91,200,14,87.461
10-Dec-22,205,180,179,16,16.113
11-Dec-22,176,152,185,8,17
12-Dec-22,179,109,154,8,27.895
13-Dec-22,182,134,105,23,178.931
14-Dec-22,191,114,60,71,27.901
15-Dec-22,218,104,143,34,2.228
16-Dec-22,222,113,143,28,3.31
17-Dec-22,315,109,77,133,24.709
18-Dec-22,362,125,154,35,170.71
19-Dec-22,491,123,239,29,51.174
20-Dec-22,355,87,159,32,3
21-Dec-22,381,106,203,28,3
22-Dec-22,459,106,136,35,43
23-Dec-22,391,50,77,35,6
24-Dec-22,272,46,174,42,3
25-Dec-22,267,106,206,28,6
26-Dec-22,379,77,151,71,3
27-Dec-22,392,98,147,105,4
28-Dec-22,433,126,161,97,6
29-Dec-22,451,86,80,77,4
30-Dec-22,216,89,203,108,4
31-Dec-22,221,102,158,81,157
1-Jan-23,248,72,153,54,203
2-Jan-23,409,86,130,64,203
3-Jan-23,383,75,58,80,148
4-Jan-23,466,89,72,28,87
5-Jan-23,395,116,64,98,112
6-Jan-23,427,67,53,106,171
7-Jan-23,384,58,45,47,195
8-Jan-23,326,72,38,48,197
9-Jan-23,328,78,41,28,194
10-Jan-23,447,80,63,67,181
11-Jan-23,343,50,56,79,175
12-Jan-23,286,64,66,66,153
13-Jan-23,306,61,44.352,108,162
14-Jan-23,185,60,60.767,97,152
15-Jan-23,185,32,62.204,87,143
16-Jan-23,228,27,30.418,28,129
17-Jan-23,216,64,34.645,28,208
18-Jan-23,279,91,35.976,42,157
19-Jan-23,206,110,49.427,33,167
20-Jan-23,194,62,28.702,28,194
21-Jan-23,188,43,27.906,34,123
22-Jan-23,196,46,24.437,28,10.557
23-Jan-23,174,39,32.852,133,5.858
24-Jan-23,196,39,175.335,35,18.746
25-Jan-23,213,64,79.412,29,11.335
26-Jan-23,212,39,21,32,19.854
27-Jan-23,169,31,18,28,28.076
28-Jan-23,227,64,20,35,23.421
29-Jan-23,277,45,29,35,18.377
30-Jan-23,159,66,18,42,59.38
31-Jan-23,177,99,28,28,13.524
1-Feb-23,168,79,18,71,13.402
2-Feb-23,230,76,39,105,23.097
3-Feb-23,249,119,18,97,187.45
4-Feb-23,211,119,35,77,87.28
5-Feb-23,187,118,19,108,87.461
6-Feb-23,158,123,19,81,16.113
7-Feb-23,131,60,28,54,17
8-Feb-23,207,56,18,64,27.895
9-Feb-23,277,58,32,80,178.931
10-Feb-23,189,12,20,28,27.901
11-Feb-23,142,74,27,98,2.228
12-Feb-23,156,53,18,106,3.31
13-Feb-23,152,45,26,47,24.709
14-Feb-23,195,72,41,48,170.71
15-Feb-23,207,39,30,28,51.174
16-Feb-23,259,74,27,67,3
17-Feb-23,348,59,48,79,3
18-Feb-23,204,81,35,66,43
19-Feb-23,204,65,29,108,6
20-Feb-23,201,74,22,97,3
21-Feb-23,201,56,31,87,6
22-Feb-23,202,88,35,28,3
23-Feb-23,202,68,29,28,4
24-Feb-23,202,52,34,42,6
25-Feb-23,203,42,48,33,4
26-Feb-23,203,76,22,28,4
27-Feb-23,203,104,25,42,87
28-Feb-23,203,104,49,63,120
1-Mar-23,204,111,19,65,133
2-Mar-23,203,99,200,28,66
3-Mar-23,201,101,202,31,70
4-Mar-23,202,105,54,37,68
5-Mar-23,167,115,67,80,69
6-Mar-23,164,103,190,33,100
7-Mar-23,177,129,200,11,115
8-Mar-23,190,32,179,36,125
9-Mar-23,162,58,185,27,123
10-Mar-23,174,56,154,45,141
11-Mar-23,176,56,105,28,131
12-Mar-23,167,121,60,12,151
13-Mar-23,177,85,143,10,142
14-Mar-23,179,23,143,64,138
15-Mar-23,186,25,77,51,175
16-Mar-23,117,64,154,56,171
17-Mar-23,98,67,239,73,156
18-Mar-23,126,68,159,36,165
19-Mar-23,162,62,203,145,141
20-Mar-23,183,62,136,200,157
21-Mar-23,108,67,77,147,172
22-Mar-23,144,67,174,82,175
23-Mar-23,148,54,206,86,185
24-Mar-23,121,68,151,89,209
25-Mar-23,91,39,147,65,206
26-Mar-23,134,39,161,179,160
27-Mar-23,137,66,80,96,157
28-Mar-23,167,29,203,88,203
29-Mar-23,235,33,158,76,203
30-Mar-23,125,61,153,50,148
31-Mar-23,93,37,130,86,87
1-Apr-23,112,52,58,73,112
2-Apr-23,148,47,72,52,171
3-Apr-23,126,91,64,52,195
4-Apr-23,117,40,53,75,197
5-Apr-23,131,75,45,148,194
6-Apr-23,135,41,38,199,181
7-Apr-23,128,89,41,124,175
8-Apr-23,145,49,63,207,153
9-Apr-23,166,60,56,56,162
10-Apr-23,168,64,66,87,152
11-Apr-23,189,66,44.352,99,143
12-Apr-23,155,59,60.767,89,129
13-Apr-23,142,63,62.204,8.969,208
14-Apr-23,142,54,30.418,10.721,157
15-Apr-23,179,81,34.645,9.867,167
16-Apr-23,138,75,35.976,29.1269,194
17-Apr-23,155,71,49.427,19,123
18-Apr-23,157,20,28.702,18,10.557
19-Apr-23,139,52,27.906,17,5.858
20-Apr-23,90,67,24.437,7,18.746
21-Apr-23,61,44,32.852,8,11.335
22-Apr-23,64,39,175.335,8,19.854
23-Apr-23,65,55,79.412,10,28.076
24-Apr-23,118,59,21,10,23.421
25-Apr-23,143,40,18,14,18.377
26-Apr-23,146,75,20,23,59.38
27-Apr-23,93,49,29,7,13.524
28-Apr-23,133,55,18,17,13.402
29-Apr-23,132,61,28,12,23.097
30-Apr-23,111,58,18,62,187.45
1-May-23,107,68,39,6,87.28
2-May-23,95,61,18,107,87.461
3-May-23,112,76,35,15,16.113
4-May-23,112,64,19,15,17
5-May-23,123,64,19,18,27.895
6-May-23,142,71,28,18,178.931
7-May-23,72,45,18,12,27.901
8-May-23,103,67,32,14,2.228
9-May-23,147,56,20,16,3.31
10-May-23,144,63,27,8,24.709
11-May-23,194,73,18,8,170.71
12-May-23,244,78,26,23,51.174
13-May-23,208,64,41,71,3
14-May-23,134,47,30,34,3
15-May-23,168,48,27,28,43
16-May-23,202,62,48,133,6
17-May-23,163,56,35,35,3
18-May-23,149,47,29,29,6
19-May-23,142,75,22,32,3
20-May-23,168,39,31,28,4
21-May-23,178,68,35,35,6
22-May-23,200,69,29,35,4
23-May-23,162,78,34,42,4
24-May-23,106,96,48,28,87
25-May-23,58,55,22,71,120
26-May-23,116,89,25,105,133
27-May-23,111,69,49,97,66
28-May-23,120,101,19,77,70
29-May-23,104,85,200,108,68
30-May-23,102,104,202,81,69
31-May-23,109,93,54,54,100
1-Jun-23,93,88,67,64,115
2-Jun-23,139,41,190,80,125
3-Jun-23,153,109,200,28,123
4-Jun-23,126,47,179,98,141
5-Jun-23,123,115,185,106,131
6-Jun-23,88,70,154,47,151
7-Jun-23,125,118,105,48,142
8-Jun-23,236,71,60,28,138
9-Jun-23,174,129,143,67,175
10-Jun-23,145,79,143,79,171
11-Jun-23,118,41,77,66,156
12-Jun-23,147,75,154,108,165
13-Jun-23,133,52,239,97,141
14-Jun-23,116,89,159,87,157
15-Jun-23,89,65,203,28,172
16-Jun-23,125,97,136,28,175
17-Jun-23,143,70,77,42,185
18-Jun-23,147,108,174,33,209
19-Jun-23,130,91,206,28,206
20-Jun-23,157,68,151,42,160
21-Jun-23,149,58,147,63,157
22-Jun-23,139,76,161,65,203
23-Jun-23,140,36,80,28,203
24-Jun-23,138,57,203,31,148
25-Jun-23,119,63,158,37,87
26-Jun-23,69,81,153,80,112
27-Jun-23,131,68,130,33,171
28-Jun-23,88,80,58,11,195
29-Jun-23,100,77,72,36,197
